ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
30	LEVEL 0 - BASEMENT	Level	Levels		False		False					
32	LEVEL 0 - BASEMENT	ViewPlan	Views		False		False					
36	LEVEL 0 - BASEMENT	ViewPlan	Views		False		False					
9946	LEVEL 1 - LOWER	Level	Levels		False		False					
9948	LEVEL 1 - LOWER	ViewPlan	Views		False		False					
9952	LEVEL 1 - LOWER	ViewPlan	Views		False		False					
18435	Default	Material	Materials		False		False					
18436	Default Floor	Material	Materials		False		False					
18437	Default Roof	Material	Materials		False		False					
18438	Default Wall	Material	Materials		False		False					
18439	Glass	Material	Materials		False		False					
18935	Site - Earth	Material	Materials		False		False					
18936	Site - Grass	Material	Materials		False		False					
18937	Site - Asphalt	Material	Materials		False		False					
18938	Site - Sand	Material	Materials		False		False					
18939	Concrete - Cast-in-Place Concrete	Material	Materials		False		False					
18940	Concrete - Precast Concrete	Material	Materials		False		False					
18941	Masonry - Brick	Material	Materials		False		False					
18942	Masonry - Concrete Masonry Units	Material	Materials		False		False					
18943	Masonry - Glass Block	Material	Materials		False		False					
18944	Masonry - Stone	Material	Materials		False		False					
18945	Masonry - Tile	Material	Materials		False		False					
18946	Metal - Stud Layer	Material	Materials		False		False					
18947	Metal - Panel	Material	Materials		False		False					
18948	Metal - Trim	Material	Materials		False		False					
18949	Metal - Deck	Material	Materials		False		False					
18950	Metal - Sheet / Flashing	Material	Materials		False		False					
18951	Metal - Roofing	Material	Materials		False		False					
18952	Metal - Steel	Material	Materials		False		False					
18953	Metal - Aluminum	Material	Materials		False		False					
18954	Metal - Furring	Material	Materials		False		False					
18955	Wood - Stud Layer	Material	Materials		False		False					
18956	Wood - Sheathing - particleboard/ OSB	Material	Materials		False		False					
18957	Wood - Sheathing - plywood	Material	Materials		False		False					
18958	Wood - Veneers	Material	Materials		False		False					
18959	Wood - Flooring	Material	Materials		False		False					
18960	Wood - Dimensional Lumber	Material	Materials		False		False					
18961	Wood - Glue-Laminated	Material	Materials		False		False					
18962	Wood - Furring	Material	Materials		False		False					
18963	Plastic - GFRP -  Glass Fiber Reinforced Plastic	Material	Materials		False		False					
18964	Plastic - Formed Plastic	Material	Materials		False		False					
18965	Plastic - Vinyl Cove Base	Material	Materials		False		False					
18966	GFRC -  Glass Fiber Reinforced Concrete	Material	Materials		False		False					
18967	EIFS - Exterior Insulation and Finish System	Material	Materials		False		False					
18968	Siding - Clapboard	Material	Materials		False		False					
18969	Precast Concrete Panels	Material	Materials		False		False					
18970	Metal Panel	Material	Materials		False		False					
18971	Curtain Wall Mullions	Material	Materials		False		False					
18972	Roofing - Generic	Material	Materials		False		False					
18973	Misc. Air Layers - Air Film - Outside Surface	Material	Materials		False		False					
18974	Misc. Air Layers - Air Space	Material	Materials		False		False					
18975	Misc. Air Layers - Air Film - Inside Surface	Material	Materials		False		False					
18976	Air Barrier - Air Infiltration Barrier	Material	Materials		False		False					
18977	Insulation / Thermal Barriers - Rigid insulation	Material	Materials		False		False					
18978	Insulation / Thermal Barriers - Batt insulation	Material	Materials		False		False					
18979	Insulation / Thermal Barriers - Semi-rigid insulation	Material	Materials		False		False					
18980	Insulation / Thermal Barriers - EIFS - Exterior Insulation and Finish System	Material	Materials		False		False					
18981	Insulation / Thermal Barriers - Reflective heat barrier	Material	Materials		False		False					
18982	Vapor / Moisture Barriers - Vapor Retarder	Material	Materials		False		False					
18983	Vapor / Moisture Barriers - Damp-proofing	Material	Materials		False		False					
18984	Glazing - Window Glazing	Material	Materials		False		False					
18985	Glazing - Curtain Wall Glazing	Material	Materials		False		False					
18986	Gypsum Wall Board	Material	Materials		False		False					
18987	GFRG -  Glass Fiber Reinforced Gypsum	Material	Materials		False		False					
18988	Plaster and Lathe	Material	Materials		False		False					
