ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
20	<Solid fill>	FillPatternElement			False		True	Fill Patterns				
21	Diagonal up	FillPatternElement			False		True	Fill Patterns				
22	Diagonal down	FillPatternElement			False		True	Fill Patterns				
23	Horizontal	FillPatternElement			False		True	Fill Patterns				
24	Vertical	FillPatternElement			False		True	Fill Patterns				
25	Crosshatch	FillPatternElement			False		True	Fill Patterns				
26	Diagonal crosshatch	FillPatternElement			False		True	Fill Patterns				
30	LEVEL 0 - BASEMENT	Level	Levels		False		True	Shared Views, Levels, Grids				
31	LEVEL 0 - BASEMENT	Element			False		True	View "Floor Plan: LEVEL 0 - BASEMENT"				
32	LEVEL 0 - BASEMENT	ViewPlan	Views		False		True	View "Floor Plan: LEVEL 0 - BASEMENT"				
33	LEVEL 0 - BASEMENT	Element			False		True	View "Floor Plan: LEVEL 0 - BASEMENT"				
35	LEVEL 0 - BASEMENT	Element			False		True	View "Reflected Ceiling Plan: LEVEL 0 - BASEMENT"				
36	LEVEL 0 - BASEMENT	ViewPlan	Views		False		True	View "Reflected Ceiling Plan: LEVEL 0 - BASEMENT"				
37	LEVEL 0 - BASEMENT	Element			False		True	View "Reflected Ceiling Plan: LEVEL 0 - BASEMENT"				
394	Plan Swing	Element			False		True	Object Styles				
395	Elevation Swing	Element			False		True	Object Styles				
1094	Elevation Swing	Element			False		True	Object Styles				
1095	Plan Swing	Element			False		True	Object Styles				
2295	Text - element id 65	Element			False		True	Object Styles				
2296	Tag - element id 74	Element			False		True	Object Styles				
3650	Project View	Element			False		True	View "Project Browser"				
3651	Project View	View			False		True	View "Project Browser"				
3652	Project Browser	Element			False		True	View "Project Browser"				
5408	Tag - element id 89	Element			False		True	Object Styles				
5409	Text - element id 95	Element			False		True	Object Styles				
8091	Elevation - element id 1650	Element			False		True	Object Styles				
8355	Elevation - element id 127	Element			False		True	Object Styles				
8451	Elevation - element id 338	Element			False		True	Object Styles				
9115	Elevation - element id 830	Element			False		True	Object Styles				
9304	Elevation - element id 694	Element			False		True	Object Styles				
9639	Elevation - element id 240	Element			False		True	Object Styles				
9781	Level - element id 9780	Element			False		True	Object Styles				
9946	LEVEL 1 - LOWER	Level	Levels		False		True	Shared Views, Levels, Grids				
9947	LEVEL 1 - LOWER	Element			False		True	View "Floor Plan: LEVEL 1 - LOWER"				
9948	LEVEL 1 - LOWER	ViewPlan	Views		False		True	View "Floor Plan: LEVEL 1 - LOWER"				
9949	LEVEL 1 - LOWER	Element			False		True	View "Floor Plan: LEVEL 1 - LOWER"				
9951	LEVEL 1 - LOWER	Element			False		True	View "Reflected Ceiling Plan: LEVEL 1 - LOWER"				
9952	LEVEL 1 - LOWER	ViewPlan	Views		False		True	View "Reflected Ceiling Plan: LEVEL 1 - LOWER"				
9953	LEVEL 1 - LOWER	Element			False		True	View "Reflected Ceiling Plan: LEVEL 1 - LOWER"				
10229	Elevation - element id 102	Element			False		True	Object Styles				
11478	Elevation - element id 308	Element			False		True	Object Styles				
11925	Trim Projection	Element			False		True	Object Styles				
11975	Level - element id 32	Element			False		True	Object Styles				
12332	Level - element id 139	Element			False		True	Object Styles				
12689	Elevation - element id 217	Element			False		True	Object Styles				
12882	Elevation - element id 321	Element			False		True	Object Styles				
13017	Elevation - element id 467	Element			False		True	Object Styles				
16798	- element id 169	Element			False		True	Object Styles				
16877	LEVEL 0 - BASEMENT	SketchPlane			False		True	ZGF - Default				
16982	- element id 783	Element			False		True	Object Styles				
17534	- element id 298	Element			False		True	Object Styles				
17830	<Room Separation>	GraphicsStyle			False		True	Line Styles				
17831	Callout Heads	GraphicsStyle			False		True	Object Styles				
17832	Callouts	GraphicsStyle			False		True	Object Styles				
17833	Cameras	GraphicsStyle			False		True	Object Styles				
17834	Casework	GraphicsStyle			False		True	Object Styles				
17837	Casework Tags	GraphicsStyle			False		True	Object Styles				
17838	Ceiling Tags	GraphicsStyle			False		True	Object Styles				
17839	Ceilings	GraphicsStyle			False		True	Object Styles				
17842	Columns	GraphicsStyle			False		True	Object Styles				
17843	Reference Planes	GraphicsStyle			False		True	Object Styles				
17844	Crop Boundaries	GraphicsStyle			False		True	Object Styles				
17845	Curtain Wall Mullions	GraphicsStyle			False		True	Object Styles				
17846	Curtain Panels	GraphicsStyle			False		True	Object Styles				
17852	Dimensions	GraphicsStyle			False		True	Object Styles				
17853	Automatic Sketch Dimensions	GraphicsStyle			False		True	Object Styles				
17854	Door Tags	GraphicsStyle			False		True	Object Styles				
17855	Doors	GraphicsStyle			False		True	Object Styles				
17856	Elevation Swing	GraphicsStyle			False		True	Object Styles				
17858	Frame/Mullion	GraphicsStyle			False		True	Object Styles				
17860	Glass	GraphicsStyle			False		True	Object Styles				
17862	Opening	GraphicsStyle			False		True	Object Styles				
17864	Panel	GraphicsStyle			False		True	Object Styles				
17865	Plan Swing	GraphicsStyle			False		True	Object Styles				
17866	Electrical Equipment	GraphicsStyle			False		True	Object Styles				
17867	Electrical Equipment Tags	GraphicsStyle			False		True	Object Styles				
17868	Electrical Fixture Tags	GraphicsStyle			False		True	Object Styles				
17869	Electrical Fixtures	GraphicsStyle			False		True	Object Styles				
17870	Elevations	GraphicsStyle			False		True	Object Styles				
17871	Floors	GraphicsStyle			False		True	Object Styles				
17874	Furniture	GraphicsStyle			False		True	Object Styles				
17877	Furniture System Tags	GraphicsStyle			False		True	Object Styles				
17878	Furniture Systems	GraphicsStyle			False		True	Object Styles				
17879	Furniture Tags	GraphicsStyle			False		True	Object Styles				
17880	Generic Annotations	GraphicsStyle			False		True	Object Styles				
17881	Generic Models	GraphicsStyle			False		True	Object Styles				
17882	Generic Model Tags	GraphicsStyle			False		True	Object Styles				
17883	Grids	GraphicsStyle			False		True	Object Styles				
17884	Internal Object Styles	GraphicsStyle			False		True	Object Styles				
17887	Arrow 30 Degree	GraphicsStyle			False		True	Arrowhead Styles				
17888	- element id 169	GraphicsStyle			False		True	Object Styles				
17891	- element id 298	GraphicsStyle			False		True	Object Styles				
17896	- element id 783	GraphicsStyle			False		True	Object Styles				
17897	Aligning Line	GraphicsStyle			False		True	Object Styles				
17898	Backed Up Elements	GraphicsStyle			False		True	Object Styles				
17900	Datum Plane	GraphicsStyle			False		True	Object Styles				
17902	Linear	GraphicsStyle			False		True	Dimension Styles				
17903	Elevation - element id 102	GraphicsStyle			False		True	Object Styles				
17905	Elevation - element id 127	GraphicsStyle			False		True	Object Styles				
17906	Elevation - element id 1650	GraphicsStyle			False		True	Object Styles				
17909	Elevation - element id 217	GraphicsStyle			False		True	Object Styles				
17910	Elevation - element id 240	GraphicsStyle			False		True	Object Styles				
17912	Elevation - element id 308	GraphicsStyle			False		True	Object Styles				
17913	Elevation - element id 321	GraphicsStyle			False		True	Object Styles				
17914	Elevation - element id 338	GraphicsStyle			False		True	Object Styles				
17917	Elevation - element id 467	GraphicsStyle			False		True	Object Styles				
17922	Elevation - element id 694	GraphicsStyle			False		True	Object Styles				
17924	Exterior	GraphicsStyle			False		True	Elevation Tag Types				
17925	Elevation - element id 830	GraphicsStyle			False		True	Object Styles				
17926	Flip Control	GraphicsStyle			False		True	Object Styles				
17927	1/4" Bubble	GraphicsStyle			False		True	Grid Types				
17928	No Head	GraphicsStyle			False		True	Level Types				
17929	Level - element id 139	GraphicsStyle			False		True	Object Styles				
17934	1/4" Head	GraphicsStyle			False		True	Level Types				
17935	Level - element id 32	GraphicsStyle			False		True	Object Styles				
17936	Level - element id 9780	GraphicsStyle			False		True	Object Styles				
17937	Regenerating elements.	GraphicsStyle			False		True	Object Styles				
17938	Regeneration Failure	GraphicsStyle			False		True	Object Styles				
17940	Work Plane Grid	GraphicsStyle			False		True	Object Styles				
17941	Suspended Sketch	GraphicsStyle			False		True	Object Styles				
17943	Tag 1	GraphicsStyle			False		True	Annotation Family Label Types				
17945	Tag - element id 74	GraphicsStyle			False		True	Object Styles				
17946	Tag - element id 89	GraphicsStyle			False		True	Object Styles				
17947	ZGF Small - 1/10"	GraphicsStyle			False		True	Text Types				
17955	Text - element id 65	GraphicsStyle			False		True	Object Styles				
17956	Text - element id 95	GraphicsStyle			False		True	Object Styles				
17957	Thin Pixel	GraphicsStyle			False		True	Object Styles				
17958	Thin Pixel - Dash	GraphicsStyle			False		True	Object Styles				
17959	Thin Pixel - DashDot	GraphicsStyle			False		True	Object Styles				
17960	Thin Pixel - Dot	GraphicsStyle			False		True	Object Styles				
17962	Linear	GraphicsStyle			False		True	Dimension Styles				
17963	Levels	GraphicsStyle			False		True	Object Styles				
17964	Lighting Fixture Tags	GraphicsStyle			False		True	Object Styles				
17965	Lighting Fixtures	GraphicsStyle			False		True	Object Styles				
17966	Lights	GraphicsStyle			False		True	Object Styles				
17967	Lines	GraphicsStyle			False		True	Line Styles				
17968	<Invisible lines>	GraphicsStyle			False		True	Object Styles				
17969	<Sketch>	GraphicsStyle			False		True	Line Styles				
17970	Medium Lines	GraphicsStyle			False		True	Line Styles				
17971	Thin Lines	GraphicsStyle			False		True	Line Styles				
17972	Wide Lines	GraphicsStyle			False		True	Line Styles				
17973	Mechanical Equipment	GraphicsStyle			False		True	Object Styles				
17974	Mechanical Equipment Tags	GraphicsStyle			False		True	Object Styles				
17975	Curtain Panel Tags	GraphicsStyle			False		True	Object Styles				
17976	Parking	GraphicsStyle			False		True	Object Styles				
17977	Plumbing Fixture Tags	GraphicsStyle			False		True	Object Styles				
17978	Plumbing Fixtures	GraphicsStyle			False		True	Object Styles				
17982	Roads	GraphicsStyle			False		True	Object Styles				
17983	Roofs	GraphicsStyle			False		True	Object Styles				
17986	Rooms	GraphicsStyle			False		True	Object Styles				
17987	Room Tags	GraphicsStyle			False		True	Object Styles				
17988	Section Marks	GraphicsStyle			False		True	Object Styles				
17989	Medium Lines	GraphicsStyle			False		True	Object Styles				
17990	Thin Lines	GraphicsStyle			False		True	Object Styles				
17991	Wide Lines	GraphicsStyle			False		True	Object Styles				
17992	Sections	GraphicsStyle			False		True	Object Styles				
17994	Site	GraphicsStyle			False		True	Object Styles				
17995	Specialty Equipment	GraphicsStyle			False		True	Object Styles				
17996	Specialty Equipment Tags	GraphicsStyle			False		True	Object Styles				
17997	Stairs	GraphicsStyle			False		True	Object Styles				
18000	UP Text	GraphicsStyle			False		True	Object Styles				
18001	Supports	GraphicsStyle			False		True	Object Styles				
18002	<Above> Supports	GraphicsStyle			False		True	Object Styles				
18003	Structural Foundations	GraphicsStyle			False		True	Object Styles				
18004	Structural Framing	GraphicsStyle			False		True	Object Styles				
18005	Structural Framing Tags	GraphicsStyle			False		True	Object Styles				
18006	Text Notes	GraphicsStyle			False		True	Object Styles				
18007	Title Blocks	GraphicsStyle			False		True	Object Styles				
18008	Medium Lines	GraphicsStyle			False		True	Object Styles				
18009	Thin Lines	GraphicsStyle			False		True	Object Styles				
18010	Wide Lines	GraphicsStyle			False		True	Object Styles				
18011	Topography	GraphicsStyle			False		True	Object Styles				
18012	View Titles	GraphicsStyle			False		True	Object Styles				
18013	Viewports	GraphicsStyle			False		True	Object Styles				
18014	Wall Tags	GraphicsStyle			False		True	Object Styles				
18015	Walls	GraphicsStyle			False		True	Object Styles				
18018	Window Tags	GraphicsStyle			False		True	Object Styles				
18019	Windows	GraphicsStyle			False		True	Object Styles				
18020	Elevation Swing	GraphicsStyle			False		True	Object Styles				
18022	Frame/Mullion	GraphicsStyle			False		True	Object Styles				
18024	Glass	GraphicsStyle			False		True	Object Styles				
18026	Opening	GraphicsStyle			False		True	Object Styles				
18027	Plan Swing	GraphicsStyle			False		True	Object Styles				
18029	Sill/Head	GraphicsStyle			False		True	Object Styles				
18030	Trim Projection	GraphicsStyle			False		True	Object Styles				
18031	Axis of Rotation	GraphicsStyle			False		True	Line Styles				
18032	Boundary>	GraphicsStyle			False		True	Line Styles				
18033	Riser>	GraphicsStyle			False		True	Line Styles				
18034	Run>	GraphicsStyle			False		True	Line Styles				
18035	Landing Center>	GraphicsStyle			False		True	Line Styles				
18036	Railings	GraphicsStyle			False		True	Object Styles				
18037	Ramps	GraphicsStyle			False		True	Object Styles				
18038	Ghost	GraphicsStyle			False		True	Object Styles				
18039	Groups	GraphicsStyle			False		True	Object Styles				
18246	- element id 604	Element			False		True	Object Styles				
18247	- element id 604	GraphicsStyle			False		True	Object Styles				
18425	Massing	GraphicsStyle			False		True	Object Styles				
18435	Default	Material	Materials		False		True	Materials				
18436	Default Floor	Material	Materials		False		True	Materials				
18437	Default Roof	Material	Materials		False		True	Materials				
18438	Default Wall	Material	Materials		False		True	Materials				
18439	Glass	Material	Materials		False		True	Materials				
18441	Balusters	GraphicsStyle			False		True	Object Styles				
18442	Rails	GraphicsStyle			False		True	Object Styles				
18445	Internal Object Styles	GraphicsStyle			False		True	Object Styles				
18446	Cutting geometry	GraphicsStyle			False		True	Object Styles				
18455	Detail Items	GraphicsStyle			False		True	Object Styles				
18654	Crosshatch-small	FillPatternElement			False		True	Fill Patterns				
18655	Diagonal crosshatch-small	FillPatternElement			False		True	Fill Patterns				
18656	Diagonal down-small	FillPatternElement			False		True	Fill Patterns				
18657	Diagonal up-small	FillPatternElement			False		True	Fill Patterns				
18658	Horizontal-small	FillPatternElement			False		True	Fill Patterns				
18659	Vertical-small	FillPatternElement			False		True	Fill Patterns				
18660	3" parallel	FillPatternElement			False		True	Fill Patterns				
18661	4" Parallel	FillPatternElement			False		True	Fill Patterns				
18662	6" Parallel	FillPatternElement			False		True	Fill Patterns				
18663	Block 8x16	FillPatternElement			False		True	Fill Patterns				
18664	Block 8x8	FillPatternElement			False		True	Fill Patterns				
18665	Brick	FillPatternElement			False		True	Fill Patterns				
18669	Shake 6"	FillPatternElement			False		True	Fill Patterns				
18935	Site - Earth	Material	Materials		False		True	Materials				
18936	Site - Grass	Material	Materials		False		True	Materials				
18937	Site - Asphalt	Material	Materials		False		True	Materials				
18938	Site - Sand	Material	Materials		False		True	Materials				
18939	Concrete - Cast-in-Place Concrete	Material	Materials		False		True	Materials				
18940	Concrete - Precast Concrete	Material	Materials		False		True	Materials				
18941	Masonry - Brick	Material	Materials		False		True	Materials				
18942	Masonry - Concrete Masonry Units	Material	Materials		False		True	Materials				
18943	Masonry - Glass Block	Material	Materials		False		True	Materials				
18944	Masonry - Stone	Material	Materials		False		True	Materials				
18945	Masonry - Tile	Material	Materials		False		True	Materials				
18946	Metal - Stud Layer	Material	Materials		False		True	Materials				
18947	Metal - Panel	Material	Materials		False		True	Materials				
18948	Metal - Trim	Material	Materials		False		True	Materials				
18949	Metal - Deck	Material	Materials		False		True	Materials				
18950	Metal - Sheet / Flashing	Material	Materials		False		True	Materials				
18951	Metal - Roofing	Material	Materials		False		True	Materials				
18952	Metal - Steel	Material	Materials		False		True	Materials				
18953	Metal - Aluminum	Material	Materials		False		True	Materials				
18954	Metal - Furring	Material	Materials		False		True	Materials				
18955	Wood - Stud Layer	Material	Materials		False		True	Materials				
18956	Wood - Sheathing - particleboard/ OSB	Material	Materials		False		True	Materials				
18957	Wood - Sheathing - plywood	Material	Materials		False		True	Materials				
