ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
30	LEVEL 0 - BASEMENT	Level	Levels		False		True	Shared Views, Levels, Grids				
32	LEVEL 0 - BASEMENT	ViewPlan	Views		False		True	View "Floor Plan: LEVEL 0 - BASEMENT"				
36	LEVEL 0 - BASEMENT	ViewPlan	Views		False		True	View "Reflected Ceiling Plan: LEVEL 0 - BASEMENT"				
9946	LEVEL 1 - LOWER	Level	Levels		False		True	Shared Views, Levels, Grids				
9948	LEVEL 1 - LOWER	ViewPlan	Views		False		True	View "Floor Plan: LEVEL 1 - LOWER"				
9952	LEVEL 1 - LOWER	ViewPlan	Views		False		True	View "Reflected Ceiling Plan: LEVEL 1 - LOWER"				
18435	Default	Material	Materials		False		True	Materials				
18436	Default Floor	Material	Materials		False		True	Materials				
18437	Default Roof	Material	Materials		False		True	Materials				
18438	Default Wall	Material	Materials		False		True	Materials				
18439	Glass	Material	Materials		False		True	Materials				
18935	Site - Earth	Material	Materials		False		True	Materials				
18936	Site - Grass	Material	Materials		False		True	Materials				
18937	Site - Asphalt	Material	Materials		False		True	Materials				
18938	Site - Sand	Material	Materials		False		True	Materials				
18939	Concrete - Cast-in-Place Concrete	Material	Materials		False		True	Materials				
18940	Concrete - Precast Concrete	Material	Materials		False		True	Materials				
18941	Masonry - Brick	Material	Materials		False		True	Materials				
18942	Masonry - Concrete Masonry Units	Material	Materials		False		True	Materials				
18943	Masonry - Glass Block	Material	Materials		False		True	Materials				
18944	Masonry - Stone	Material	Materials		False		True	Materials				
18945	Masonry - Tile	Material	Materials		False		True	Materials				
18946	Metal - Stud Layer	Material	Materials		False		True	Materials				
18947	Metal - Panel	Material	Materials		False		True	Materials				
18948	Metal - Trim	Material	Materials		False		True	Materials				
18949	Metal - Deck	Material	Materials		False		True	Materials				
18950	Metal - Sheet / Flashing	Material	Materials		False		True	Materials				
18951	Metal - Roofing	Material	Materials		False		True	Materials				
18952	Metal - Steel	Material	Materials		False		True	Materials				
18953	Metal - Aluminum	Material	Materials		False		True	Materials				
18954	Metal - Furring	Material	Materials		False		True	Materials				
18955	Wood - Stud Layer	Material	Materials		False		True	Materials				
18956	Wood - Sheathing - particleboard/ OSB	Material	Materials		False		True	Materials				
18957	Wood - Sheathing - plywood	Material	Materials		False		True	Materials				
18958	Wood - Veneers	Material	Materials		False		True	Materials				
18959	Wood - Flooring	Material	Materials		False		True	Materials				
18960	Wood - Dimensional Lumber	Material	Materials		False		True	Materials				
18961	Wood - Glue-Laminated	Material	Materials		False		True	Materials				
18962	Wood - Furring	Material	Materials		False		True	Materials				
18963	Plastic - GFRP -  Glass Fiber Reinforced Plastic	Material	Materials		False		True	Materials				
18964	Plastic - Formed Plastic	Material	Materials		False		True	Materials				
18965	Plastic - Vinyl Cove Base	Material	Materials		False		True	Materials				
18966	GFRC -  Glass Fiber Reinforced Concrete	Material	Materials		False		True	Materials				
18967	EIFS - Exterior Insulation and Finish System	Material	Materials		False		True	Materials				
18968	Siding - Clapboard	Material	Materials		False		True	Materials				
18969	Precast Concrete Panels	Material	Materials		False		True	Materials				
18970	Metal Panel	Material	Materials		False		True	Materials				
18971	Curtain Wall Mullions	Material	Materials		False		True	Materials				
18972	Roofing - Generic	Material	Materials		False		True	Materials				
18973	Misc. Air Layers - Air Film - Outside Surface	Material	Materials		False		True	Materials				
18974	Misc. Air Layers - Air Space	Material	Materials		False		True	Materials				
18975	Misc. Air Layers - Air Film - Inside Surface	Material	Materials		False		True	Materials				
18976	Air Barrier - Air Infiltration Barrier	Material	Materials		False		True	Materials				
18977	Insulation / Thermal Barriers - Rigid insulation	Material	Materials		False		True	Materials				
18978	Insulation / Thermal Barriers - Batt insulation	Material	Materials		False		True	Materials				
18979	Insulation / Thermal Barriers - Semi-rigid insulation	Material	Materials		False		True	Materials				
18980	Insulation / Thermal Barriers - EIFS - Exterior Insulation and Finish System	Material	Materials		False		True	Materials				
